id,normalized_tweet
7921,"['hate', 'new', 'iphone', 'upgrade', 'let', 'download', 'apps', 'ugh', 'apple', 'suck']"
7922,"['currently', 'shitting', 'fucking', 'pant', 'apple', 'imac', 'cashmoney', 'raddest', 'swagswagswag']"
7923,"['like', 'put', 'rom', 'ipad', 'possible', 'yes', 'block', 'screen']"
7924,"['ipod', 'officially', 'dead', 'lost', 'picture', 'video', 'so', 'concert', 'vet', 'camp', 'hatinglife', 'sobbing']"
7925,"['fighting', 'itunes', 'night', 'want', 'music', 'paid']"
7926,"['repost', 'repostapp', 'announce', 'apple', 'bourbon']"
7927,"['new', 'apple', 'software', 'update', 'really', 'thing', 'phone', 'bad', 'thing', 'apple']"
7928,"['baby', 'iphone', 'iphone', 'gold', 'new', 'apple', 'appleisbest', 'geg', 'nnt', 'aaaaah']"
7929,"['confused', 'take', 'time', 'set', 'appointment', 'still', 'waiting', 'minute', 'fact']"
7930,"['fruit', 'taste', 'better', 'pick', 'apple', 'healthy', 'fruit', 'nyc', 'pic', 'twitter', 'com', 'zuo', 'thmek']"
7931,"['con', 'buddy', 'edgar', 'buddy', 'friend', 'viviendo', 'taller', 'friendly', 'hug', 'sony', 'smile', 'sonrisa']"
7932,"['mymomisgreatbecause', 'always', 'care', 'anything', 'follow', 'mothersday', 'mustfollow', 'mothersday', 'iphone', 'tweet']"
7933,"['kiss', 'romance', 'hot', 'movie', 'iphone', 'sex', 'porn', 'lustful', 'mature', 'woman', 'getting', 'nailed', 'intensively', 'mission']"
7934,"['holding', 'hope', 'loved', 'one', 'news', 'photography', 'fashion', 'health', 'fail', 'tech', 'ipad', 'iphone', 'funny', 'lol']"
7935,"['new', 'phone', 'case', 'selfie', 'guy', 'dude', 'smile', 'teeth', 'cute', 'samsung', 'galaxy', 'british', 'flag', 'vint']"
7936,"['shoot', 'son', 'swarovski', 'kristallwelten', 'photo', 'iphone', 'plus', 'swarovski']"
7937,"['found', 'photo', 'mine', 'still', 'new', 'snoopy', 'apple', 'cup', 'character', 'cute']"
7938,"['fucking', 'iphone', 'charger', 'none', 'work', 'fucking', 'joke', 'thank', 'god', 'ihome', 'work', 'apple']"
7939,"['buy', 'song', 'itunes', 'fucking', 'security', 'verification']"
7940,"['check', 'justin', 'layman', 'app', 'via', 'iphone', 'android', 'jlay', 'music', 'newmusic', 'original', 'cmtawa']"
7941,"['good', 'morning', 'golden', 'october', 'new', 'rosegold', 'coffee', 'gorgeous', 'iphone', 'apple', 'lucky', 'pic', 'twitter', 'com', 'iqhegee']"
7942,"['got', 'ride', 'horse', 'properly', 'first', 'time', 'age', 'today', 'horse', 'look', 'iphone']"
7943,"['got', 'iphone', 'screen', 'fixed', 'get', 'bed', 'phone', 'fall', 'cracked', 'iphone']"
7944,"['samsung', 'permanently', 'stop', 'galaxy', 'note', 'production', 'read', 'samsung', 'samsungblast', 'galaxynote', 'pic', 'twitter', 'com', 'hmwz', 'fgcmq']"
7945,"['add', 'right', 'tweeted', 'wanting', 'jailbreak', 'iphone', 'became', 'unresponsive', 'hateitunes']"
7946,"['one', 'best', 'apps', 'iphone']"
7947,"['discount', 'zazzle', 'promo', 'promocode', 'discount', 'honey', 'iphone', 'phonecase', 'iphonex', 'yellow', 'summer', 'goodvibes', 'positivevibes', 'thursdayaesthetic', 'cool', 'trending', 'cute', 'fashion', 'stylish', 'teen', 'hippie', 'summervibes', 'vacation', 'lifestyle', 'ukpic', 'twitter', 'com', 'tjly', 'avviu']"
7948,"['reposting', 'want', 'see', 'sunshine', 'weather', 'storm', 'explore', 'landscape', 'photographer', 'beautiful', 'outdoors', 'getoutandexplore', 'slowingitdown', 'ludapix', 'photography', 'england', 'apple', 'mac', 'macbookpro', 'hashtag', 'nofilter', 'igers', 'nikkor', 'becausepic', 'twitter', 'com', 'gvrl']"
7949,"['iphone', 'charger', 'broken', 'bought', 'two', 'new', 'charger', 'fake', 'faulty', 'lame', 'apple']"
7950,"['tapeless', 'call', 'crazy', 'lol', 'share', 'smile', 'iphone', 'igdaily', 'instagram', 'instadaily']"
7951,"['remember', 'phone', 'crashing', 'much', 'io', 'thanks', 'apple', 'stillbetterthanandroid']"
